id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,production_companies,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,cast,director,features_text
19995,Avatar,MOVIE,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009,,162.0,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",[],,"[""Ingenious Film Partners"", ""Twentieth Century Fox Film Corporation"", ""Dune Entertainment"", ""Lightstorm Entertainment""]",,0,0,150.437577,7.2,[],,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. [""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""] [""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""] [""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""] [""Ingenious Film Partners"", ""Twentieth Century Fox Film Corporation"", ""Dune Entertainment"", ""Lightstorm Entertainment""] [""Ingenious Film Partners"", ""Twentieth Century Fox Film Corporation"", ""Dune Entertainment"", ""Lightstorm Entertainment""] [] nan Avatar"
285,Pirates of the Caribbean: At World's End,MOVIE,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007,,169.0,"[""Adventure"", ""Fantasy"", ""Action""]",[],,"[""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Second Mate Productions""]",,0,0,139.082615,6.9,[],Gore Verbinski,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. [""Adventure"", ""Fantasy"", ""Action""] [""Adventure"", ""Fantasy"", ""Action""] [""Adventure"", ""Fantasy"", ""Action""] [""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Second Mate Productions""] [""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Second Mate Productions""] [] Gore Verbinski Pirates of the Caribbean: At World's End"
206647,Spectre,MOVIE,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015,,148.0,"[""Action"", ""Adventure"", ""Crime""]",[],,"[""Columbia Pictures"", ""Danjaq"", ""B24""]",,0,0,107.376788,6.3,[],,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. [""Action"", ""Adventure"", ""Crime""] [""Action"", ""Adventure"", ""Crime""] [""Action"", ""Adventure"", ""Crime""] [""Columbia Pictures"", ""Danjaq"", ""B24""] [""Columbia Pictures"", ""Danjaq"", ""B24""] [] nan Spectre"
49026,The Dark Knight Rises,MOVIE,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012,,165.0,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",[],,"[""Legendary Pictures"", ""Warner Bros."", ""DC Entertainment"", ""Syncopy""]",,0,0,112.31295,7.6,[],,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. [""Action"", ""Crime"", ""Drama"", ""Thriller""] [""Action"", ""Crime"", ""Drama"", ""Thriller""] [""Action"", ""Crime"", ""Drama"", ""Thriller""] [""Legendary Pictures"", ""Warner Bros."", ""DC Entertainment"", ""Syncopy""] [""Legendary Pictures"", ""Warner Bros."", ""DC Entertainment"", ""Syncopy""] [] nan The Dark Knight Rises"
49529,John Carter,MOVIE,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012,,132.0,"[""Action"", ""Adventure"", ""Science Fiction""]",[],,"[""Walt Disney Pictures""]",,0,0,43.926995,6.1,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe"", ""Thomas Haden Church"", ""Mark Strong"", ""Ciar\u00e1n Hinds"", ""Dominic West"", ""James Purefoy"", ""Bryan Cranston"", ""Polly Walker"", ""Daryl Sabara"", ""Arkie Reece"", ""Davood Ghadami"", ""Pippa Nixon"", ""James Embree"", ""Philip Philmar"", ""Emily Tierney"", ""Edmund Kente"", ""Nicholas Woodeson"", ""Kyle Agnew"", ""Don Stark"", ""Josh Daugherty"", ""Jared Cyr"", ""Christopher Goodman"", ""Amanda Clayton"", ""Joseph Billingiere""]",Andrew Stanton,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. [""Action"", ""Adventure"", ""Science Fiction""] [""Action"", ""Adventure"", ""Science Fiction""] [""Action"", ""Adventure"", ""Science Fiction""] [""Walt Disney Pictures""] [""Walt Disney Pictures""] [""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe"", ""Thomas Haden Church"", ""Mark Strong"", ""Ciar\u00e1n Hinds"", ""Dominic West"", ""James Purefoy"", ""Bryan Cranston"", ""Polly Walker"", ""Daryl Sabara"", ""Arkie Reece"", ""Davood Ghadami"", ""Pippa Nixon"", ""James Embree"", ""Philip Philmar"", ""Emily Tierney"", ""Edmund Kente"", ""Nicholas Woodeson"", ""Kyle Agnew"", ""Don Stark"", ""Josh Daugherty"", ""Jared Cyr"", ""Christopher Goodman"", ""Amanda Clayton"", ""Joseph Billingiere""] Andrew Stanton John Carter"
559,Spider-Man 3,MOVIE,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007,,139.0,"[""Fantasy"", ""Action"", ""Adventure""]",[],,"[""Columbia Pictures"", ""Laura Ziskin Productions"", ""Marvel Enterprises""]",,0,0,115.699814,5.9,[],Sam Raimi,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. [""Fantasy"", ""Action"", ""Adventure""] [""Fantasy"", ""Action"", ""Adventure""] [""Fantasy"", ""Action"", ""Adventure""] [""Columbia Pictures"", ""Laura Ziskin Productions"", ""Marvel Enterprises""] [""Columbia Pictures"", ""Laura Ziskin Productions"", ""Marvel Enterprises""] [] Sam Raimi Spider-Man 3"
38757,Tangled,MOVIE,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010,,100.0,"[""Animation"", ""Family""]",[],,"[""Walt Disney Pictures"", ""Walt Disney Animation Studios""]",,0,0,48.681969,7.4,"[""Zachary Levi"", ""Mandy Moore"", ""Donna Murphy"", ""Ron Perlman"", ""M.C. Gainey"", ""Jeffrey Tambor"", ""Brad Garrett"", ""Paul F. Tompkins"", ""Richard Kiel"", ""Delaney Rose Stein"", ""Nathan Greno"", ""Byron Howard"", ""Tim Mertens""]","Byron Howard,Nathan Greno","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. [""Animation"", ""Family""] [""Animation"", ""Family""] [""Animation"", ""Family""] [""Walt Disney Pictures"", ""Walt Disney Animation Studios""] [""Walt Disney Pictures"", ""Walt Disney Animation Studios""] [""Zachary Levi"", ""Mandy Moore"", ""Donna Murphy"", ""Ron Perlman"", ""M.C. Gainey"", ""Jeffrey Tambor"", ""Brad Garrett"", ""Paul F. Tompkins"", ""Richard Kiel"", ""Delaney Rose Stein"", ""Nathan Greno"", ""Byron Howard"", ""Tim Mertens""] Byron Howard,Nathan Greno Tangled"
99861,Avengers: Age of Ultron,MOVIE,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015,,141.0,"[""Action"", ""Adventure"", ""Science Fiction""]",[],,"[""Marvel Studios"", ""Prime Focus"", ""Revolution Sun Studios""]",,0,0,134.279229,7.3,[],,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. [""Action"", ""Adventure"", ""Science Fiction""] [""Action"", ""Adventure"", ""Science Fiction""] [""Action"", ""Adventure"", ""Science Fiction""] [""Marvel Studios"", ""Prime Focus"", ""Revolution Sun Studios""] [""Marvel Studios"", ""Prime Focus"", ""Revolution Sun Studios""] [] nan Avengers: Age of Ultron"
767,Harry Potter and the Half-Blood Prince,MOVIE,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009,,153.0,"[""Adventure"", ""Fantasy"", ""Family""]",[],,"[""Warner Bros."", ""Heyday Films""]",,0,0,98.885637,7.4,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Tom Felton"", ""Michael Gambon"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Maggie Smith"", ""Alan Rickman"", ""Timothy Spall"", ""David Thewlis"", ""Julie Walters"", ""Matthew Lewis"", ""Evanna Lynch"", ""Bonnie Wright"", ""Oliver Phelps"", ""James Phelps"", ""Mark Williams"", ""Warwick Davis"", ""Natalia Tena"", ""Katie Leung"", ""Dave Legeno"", ""Geraldine Somerville"", ""Helen McCrory"", ""Freddie Stroma"", ""David Bradley"", ""Frank Dillane"", ""Hero Fiennes-Tiffin"", ""Gemma Jones"", ""Afshan Azad"", ""Shefali Chowdhury"", ""Georgina Leonidas"", ""Devon Murray"", ""Anna Shaffer"", ""Josh Herdman"", ""Jamie Waylett"", ""Scarlett Byrne"", ""Jessie Cave"", ""Louis Cordice"", ""Alfie Enoch"", ""Robert Knox"", ""William Melling"", ""Paul Ritter"", ""Isabella Laughland"", ""Ralph Ineson"", ""Suzanne Toase"", ""Rod Hunt"", ""Elarica Gallacher""]",,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. [""Adventure"", ""Fantasy"", ""Family""] [""Adventure"", ""Fantasy"", ""Family""] [""Adventure"", ""Fantasy"", ""Family""] [""Warner Bros."", ""Heyday Films""] [""Warner Bros."", ""Heyday Films""] [""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Tom Felton"", ""Michael Gambon"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Maggie Smith"", ""Alan Rickman"", ""Timothy Spall"", ""David Thewlis"", ""Julie Walters"", ""Matthew Lewis"", ""Evanna Lynch"", ""Bonnie Wright"", ""Oliver Phelps"", ""James Phelps"", ""Mark Williams"", ""Warwick Davis"", ""Natalia Tena"", ""Katie Leung"", ""Dave Legeno"", ""Geraldine Somerville"", ""Helen McCrory"", ""Freddie Stroma"", ""David Bradley"", ""Frank Dillane"", ""Hero Fiennes-Tiffin"", ""Gemma Jones"", ""Afshan Azad"", ""Shefali Chowdhury"", ""Georgina Leonidas"", ""Devon Murray"", ""Anna Shaffer"", ""Josh Herdman"", ""Jamie Waylett"", ""Scarlett Byrne"", ""Jessie Cave"", ""Louis Cordice"", ""Alfie Enoch"", ""Robert Knox"", ""William Melling"", ""Paul Ritter"", ""Isabella Laughland"", ""Ralph Ineson"", ""Suzanne Toase"", ""Rod Hunt"", ""Elarica Gallacher""] nan Harry Potter and the Half-Blood Prince"
209112,Batman v Superman: Dawn of Justice,MOVIE,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016,,151.0,"[""Action"", ""Adventure"", ""Fantasy""]",[],,"[""DC Comics"", ""Atlas Entertainment"", ""Warner Bros."", ""DC Entertainment"", ""Cruel & Unusual Films"", ""RatPac-Dune Entertainment""]",,0,0,155.790452,5.7,[],,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. [""Action"", ""Adventure"", ""Fantasy""] [""Action"", ""Adventure"", ""Fantasy""] [""Action"", ""Adventure"", ""Fantasy""] [""DC Comics"", ""Atlas Entertainment"", ""Warner Bros."", ""DC Entertainment"", ""Cruel & Unusual Films"", ""RatPac-Dune Entertainment""] [""DC Comics"", ""Atlas Entertainment"", ""Warner Bros."", ""DC Entertainment"", ""Cruel & Unusual Films"", ""RatPac-Dune Entertainment""] [] nan Batman v Superman: Dawn of Justice"
