id,cast,director
19995,[],
285,[],Gore Verbinski
206647,[],
49026,[],
49529,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe"", ""Thomas Haden Church"", ""Mark Strong"", ""Ciar\u00e1n Hinds"", ""Dominic West"", ""James Purefoy"", ""Bryan Cranston"", ""Polly Walker"", ""Daryl Sabara"", ""Arkie Reece"", ""Davood Ghadami"", ""Pippa Nixon"", ""James Embree"", ""Philip Philmar"", ""Emily Tierney"", ""Edmund Kente"", ""Nicholas Woodeson"", ""Kyle Agnew"", ""Don Stark"", ""Josh Daugherty"", ""Jared Cyr"", ""Christopher Goodman"", ""Amanda Clayton"", ""Joseph Billingiere""]",Andrew Stanton
559,[],Sam Raimi
38757,"[""Zachary Levi"", ""Mandy Moore"", ""Donna Murphy"", ""Ron Perlman"", ""M.C. Gainey"", ""Jeffrey Tambor"", ""Brad Garrett"", ""Paul F. Tompkins"", ""Richard Kiel"", ""Delaney Rose Stein"", ""Nathan Greno"", ""Byron Howard"", ""Tim Mertens""]","Byron Howard,Nathan Greno"
99861,[],
767,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Tom Felton"", ""Michael Gambon"", ""Jim Broadbent"", ""Helena Bonham Carter"", ""Robbie Coltrane"", ""Maggie Smith"", ""Alan Rickman"", ""Timothy Spall"", ""David Thewlis"", ""Julie Walters"", ""Matthew Lewis"", ""Evanna Lynch"", ""Bonnie Wright"", ""Oliver Phelps"", ""James Phelps"", ""Mark Williams"", ""Warwick Davis"", ""Natalia Tena"", ""Katie Leung"", ""Dave Legeno"", ""Geraldine Somerville"", ""Helen McCrory"", ""Freddie Stroma"", ""David Bradley"", ""Frank Dillane"", ""Hero Fiennes-Tiffin"", ""Gemma Jones"", ""Afshan Azad"", ""Shefali Chowdhury"", ""Georgina Leonidas"", ""Devon Murray"", ""Anna Shaffer"", ""Josh Herdman"", ""Jamie Waylett"", ""Scarlett Byrne"", ""Jessie Cave"", ""Louis Cordice"", ""Alfie Enoch"", ""Robert Knox"", ""William Melling"", ""Paul Ritter"", ""Isabella Laughland"", ""Ralph Ineson"", ""Suzanne Toase"", ""Rod Hunt"", ""Elarica Gallacher""]",
209112,[],
1452,"[""Brandon Routh"", ""Kevin Spacey"", ""Kate Bosworth"", ""James Marsden"", ""Parker Posey"", ""Frank Langella"", ""Sam Huntington"", ""Eva Marie Saint"", ""Marlon Brando"", ""Kal Penn"", ""Tristan Lake Leabu"", ""David Fabrizio"", ""Ian Roberts"", ""Vincent Stone"", ""Jack Larson"", ""Noel Neill"", ""Keegan Joyce"", ""Jordana Beatty""]",Bryan Singer
10764,[],Marc Forster
58,[],Gore Verbinski
57201,[],Gore Verbinski
49521,"[""Henry Cavill"", ""Amy Adams"", ""Michael Shannon"", ""Kevin Costner"", ""Diane Lane"", ""Russell Crowe"", ""Laurence Fishburne"", ""Antje Traue"", ""Christopher Meloni"", ""Jadin Gould"", ""Tahmoh Penikett"", ""Ayelet Zurer"", ""Richard Schiff"", ""Dylan Sprayberry"", ""Michael Kelly"", ""Carla Gugino"", ""Richard Cetrone"", ""Mackenzie Gray"", ""Julian Richings"", ""Mary Black"", ""Samantha Jo"", ""Rebecca Buller"", ""Christina Wren"", ""David Lewis"", ""Doug Abrahams"", ""Brad Kelly"", ""Alessandro Juliani"", ""Jack Foley"", ""Robert Gerdisch"", ""Harry Lennix"", ""Jacqueline Scislowski"", ""Sean Campbell"", ""Raj Lal""]",Zack Snyder
2454,"[""Ben Barnes"", ""William Moseley"", ""Anna Popplewell"", ""Skandar Keynes"", ""Georgie Henley"", ""Sergio Castellitto"", ""Alicia Borrachero"", ""Peter Dinklage"", ""Warwick Davis"", ""Vincent Grass"", ""Pierfrancesco Favino"", ""Dami\u00e1n Alc\u00e1zar"", ""Sim\u00f3n Andreu"", ""Predrag Bjelac"", ""Shane Rangi"", ""Cornell John"", ""Liam Neeson"", ""Ken Stott"", ""Tilda Swinton"", ""Eddie Izzard"", ""Kl\u00e1ra Issov\u00e1""]",Andrew Adamson
24428,[],
1865,[],Rob Marshall
41154,[],Barry Sonnenfeld
122917,[],Peter Jackson
1930,[],Marc Webb
20662,[],Ridley Scott
57158,[],Peter Jackson
2268,"[""Dakota Blue Richards"", ""Nicole Kidman"", ""Daniel Craig"", ""Sam Elliott"", ""Eva Green"", ""Freddie Highmore"", ""Ian McKellen"", ""Ben Walker"", ""Ian McShane"", ""Kristin Scott Thomas"", ""Kathy Bates"", ""Jim Carter"", ""Tom Courtenay"", ""Christopher Lee"", ""Simon McBurney"", ""Jack Shepherd"", ""Magda Szubanski"", ""Derek Jacobi"", ""Clare Higgins"", ""Charlie Rowe"", ""Steven Loton"", ""Michael Antoniou"", ""Mark Mottram"", ""Hattie Morahan"", ""Jason Watkins"", ""Sam Hoare"", ""Brian Nickels"", ""Thomas Arnold"", ""Helen Soraya""]",Chris Weitz
254,[],Peter Jackson
597,[],
271110,[],
44833,[],
135397,[],
37724,[],Sam Mendes
558,[],
68721,[],
12155,[],Tim Burton
36668,[],Brett Ratner
