id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,production_companies,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
19995,Avatar,MOVIE,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009,,162.0,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",[],,"[""Ingenious Film Partners"", ""Twentieth Century Fox Film Corporation"", ""Dune Entertainment"", ""Lightstorm Entertainment""]",,0,0,150.437577,7.2
285,Pirates of the Caribbean: At World's End,MOVIE,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007,,169.0,"[""Adventure"", ""Fantasy"", ""Action""]",[],,"[""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Second Mate Productions""]",,0,0,139.082615,6.9
206647,Spectre,MOVIE,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015,,148.0,"[""Action"", ""Adventure"", ""Crime""]",[],,"[""Columbia Pictures"", ""Danjaq"", ""B24""]",,0,0,107.376788,6.3
49026,The Dark Knight Rises,MOVIE,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012,,165.0,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",[],,"[""Legendary Pictures"", ""Warner Bros."", ""DC Entertainment"", ""Syncopy""]",,0,0,112.31295,7.6
49529,John Carter,MOVIE,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012,,132.0,"[""Action"", ""Adventure"", ""Science Fiction""]",[],,"[""Walt Disney Pictures""]",,0,0,43.926995,6.1
559,Spider-Man 3,MOVIE,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007,,139.0,"[""Fantasy"", ""Action"", ""Adventure""]",[],,"[""Columbia Pictures"", ""Laura Ziskin Productions"", ""Marvel Enterprises""]",,0,0,115.699814,5.9
38757,Tangled,MOVIE,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010,,100.0,"[""Animation"", ""Family""]",[],,"[""Walt Disney Pictures"", ""Walt Disney Animation Studios""]",,0,0,48.681969,7.4
99861,Avengers: Age of Ultron,MOVIE,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015,,141.0,"[""Action"", ""Adventure"", ""Science Fiction""]",[],,"[""Marvel Studios"", ""Prime Focus"", ""Revolution Sun Studios""]",,0,0,134.279229,7.3
767,Harry Potter and the Half-Blood Prince,MOVIE,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009,,153.0,"[""Adventure"", ""Fantasy"", ""Family""]",[],,"[""Warner Bros."", ""Heyday Films""]",,0,0,98.885637,7.4
209112,Batman v Superman: Dawn of Justice,MOVIE,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016,,151.0,"[""Action"", ""Adventure"", ""Fantasy""]",[],,"[""DC Comics"", ""Atlas Entertainment"", ""Warner Bros."", ""DC Entertainment"", ""Cruel & Unusual Films"", ""RatPac-Dune Entertainment""]",,0,0,155.790452,5.7
1452,Superman Returns,MOVIE,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",2006,,154.0,"[""Adventure"", ""Fantasy"", ""Action"", ""Science Fiction""]",[],,"[""DC Comics"", ""Legendary Pictures"", ""Warner Bros."", ""Bad Hat Harry Productions""]",,0,0,57.925623,5.4
10764,Quantum of Solace,MOVIE,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",2008,,106.0,"[""Adventure"", ""Action"", ""Thriller"", ""Crime""]",[],,"[""Eon Productions""]",,0,0,107.928811,6.1
58,Pirates of the Caribbean: Dead Man's Chest,MOVIE,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",2006,,151.0,"[""Adventure"", ""Fantasy"", ""Action""]",[],,"[""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Second Mate Productions""]",,0,0,145.847379,7.0
57201,The Lone Ranger,MOVIE,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",2013,,149.0,"[""Action"", ""Adventure"", ""Western""]",[],,"[""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Infinitum Nihil"", ""Silver Bullet Productions (II)"", ""Blind Wink Productions"", ""Classic Media""]",,0,0,49.046956,5.9
49521,Man of Steel,MOVIE,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",2013,,143.0,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",[],,"[""Legendary Pictures"", ""Warner Bros."", ""DC Entertainment"", ""Syncopy"", ""Cruel and Unusual Films""]",,0,0,99.398009,6.5
2454,The Chronicles of Narnia: Prince Caspian,MOVIE,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",2008,,150.0,"[""Adventure"", ""Family"", ""Fantasy""]",[],,"[""Walt Disney"", ""Walden Media"", ""Stillking Films"", ""Ozumi Films"", ""Propeler"", ""Silverbell Films"", ""Revolution Sun Studios""]",,0,0,53.978602,6.3
24428,The Avengers,MOVIE,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",2012,,143.0,"[""Science Fiction"", ""Action"", ""Adventure""]",[],,"[""Paramount Pictures"", ""Marvel Studios""]",,0,0,144.448633,7.4
1865,Pirates of the Caribbean: On Stranger Tides,MOVIE,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2011,,136.0,"[""Adventure"", ""Action"", ""Fantasy""]",[],,"[""Walt Disney Pictures"", ""Jerry Bruckheimer Films"", ""Moving Picture Company (MPC)""]",,0,0,135.413856,6.4
